,년,월,주말,행정동코드,총생활인구수,10세 이하,10대,20대,30대,40대,50대,60대,70세 이상,통계청행정동코드,행자부행정동코드,시도명,시군구명,행정동명
0,2019,1,False,11110515,393388.95652173914,22095.130434782608,31747.043478260868,55759.82608695652,62022.13043478261,73074.60869565218,54133.739130434784,35318.04347826087,46147.565217391304,1101072,11110515,서울,종로구,청운효자동
1,2019,1,True,11110515,383698.875,21876.75,31035.375,56868.125,55037.25,69006.25,52860.375,36229.875,48421.875,1101072,11110515,서울,종로구,청운효자동
2,2019,2,False,11110515,370118.2272727273,20885.454545454544,29995.772727272728,52582.77272727273,58694.13636363636,68773.5,50633.954545454544,32471.909090909092,42593.181818181816,1101072,11110515,서울,종로구,청운효자동
3,2019,2,True,11110515,350495.625,20029.5,28079.125,51263.875,51003.125,63848.0,47988.625,32301.25,43241.875,1101072,11110515,서울,종로구,청운효자동
4,2019,3,False,11110515,409505.7272727273,27177.727272727272,51132.454545454544,55846.22727272727,61798.90909090909,72298.04545454546,51628.545454545456,33935.454545454544,42776.181818181816,1101072,11110515,서울,종로구,청운효자동
5,2019,3,True,11110515,362275.6,21423.2,31160.1,52752.5,52875.8,65258.6,49176.9,33551.1,43809.7,1101072,11110515,서울,종로구,청운효자동
6,2019,4,False,11110515,409560.0909090909,29469.136363636364,51935.818181818184,55618.59090909091,60875.13636363636,71238.0,51898.954545454544,33900.318181818184,41646.90909090909,1101072,11110515,서울,종로구,청운효자동
7,2019,4,True,11110515,371789.375,20998.5,31647.25,54083.0,54412.875,66470.0,51199.625,35652.375,45232.75,1101072,11110515,서울,종로구,청운효자동
8,2019,5,False,11110515,404599.17391304346,29914.217391304348,52300.69565217391,56507.608695652176,59187.13043478261,68896.17391304347,50825.65217391304,33229.17391304348,40792.608695652176,1101072,11110515,서울,종로구,청운효자동
9,2019,5,True,11110515,364789.875,21477.75,33045.375,55422.75,52729.875,63943.625,49082.0,33866.375,42819.375,1101072,11110515,서울,종로구,청운효자동
10,2019,6,False,11110515,396365.9,27665.8,48873.65,54896.1,59020.0,70241.85,50954.35,32338.7,39401.55,1101072,11110515,서울,종로구,청운효자동
11,2019,6,True,11110515,355725.6,21092.2,32313.5,53626.6,52170.0,64017.1,47607.3,31773.0,40839.9,1101072,11110515,서울,종로구,청운효자동
12,2019,7,False,11110515,381907.652173913,23975.0,38078.260869565216,55620.69565217391,57932.565217391304,69626.34782608696,51804.260869565216,31140.043478260868,40665.086956521736,1101072,11110515,서울,종로구,청운효자동
13,2019,7,True,11110515,349671.5,20053.75,30491.375,53458.0,51181.0,63678.25,46992.5,30328.25,40999.75,1101072,11110515,서울,종로구,청운효자동
14,2019,8,False,11110515,416503.1818181818,24938.136363636364,41773.09090909091,60707.63636363636,64486.77272727273,74216.09090909091,56421.63636363636,36284.36363636364,44714.0,1101072,11110515,서울,종로구,청운효자동
15,2019,8,True,11110515,386862.22222222225,20990.666666666668,32929.0,58964.0,57897.22222222222,69443.33333333333,53290.22222222222,35220.22222222222,45806.88888888889,1101072,11110515,서울,종로구,청운효자동
16,2019,9,False,11110515,428460.9,30165.3,50560.7,60191.9,64344.95,73509.4,56676.9,36364.8,43649.65,1101072,11110515,서울,종로구,청운효자동
17,2019,9,True,11110515,394323.55555555556,22883.333333333332,33062.88888888889,59254.555555555555,58385.22222222222,71014.66666666667,55175.0,36138.22222222222,46061.666666666664,1101072,11110515,서울,종로구,청운효자동
18,2019,10,False,11110515,459077.14285714284,29975.85714285714,48088.0,63514.92857142857,66384.92857142857,78361.35714285714,63186.357142857145,45530.71428571428,51268.142857142855,1101072,11110515,서울,종로구,청운효자동
19,2019,10,True,11110515,433048.5,24699.25,35176.75,62780.25,63810.0,77105.25,61086.5,43989.25,52178.75,1101072,11110515,서울,종로구,청운효자동
20,2019,11,False,11110515,426821.14285714284,27761.904761904763,48162.57142857143,61069.76190476191,63767.76190476191,74206.90476190476,57933.80952380953,37954.47619047619,43217.76190476191,1101072,11110515,서울,종로구,청운효자동
21,2019,11,True,11110515,408805.3333333333,21493.777777777777,32248.11111111111,61614.0,59429.444444444445,72300.11111111111,59446.333333333336,41867.444444444445,48335.444444444445,1101072,11110515,서울,종로구,청운효자동
22,2019,12,False,11110515,402840.86363636365,25894.227272727272,40989.22727272727,58164.545454545456,60450.545454545456,71709.68181818182,55983.954545454544,34675.818181818184,42407.90909090909,1101072,11110515,서울,종로구,청운효자동
23,2019,12,True,11110515,380866.6666666667,20391.222222222223,30651.333333333332,56990.333333333336,54935.0,68532.0,55603.666666666664,36661.22222222222,44923.333333333336,1101072,11110515,서울,종로구,청운효자동
24,2019,1,False,11110530,776704.0,20696.652173913044,27720.82608695652,123837.26086956522,173876.0,165071.78260869565,114243.60869565218,68531.17391304347,73894.60869565218,1101053,11110530,서울,종로구,사직동
